"mergeID","isConflicting","existsCommonSlices","totalCommonSlices"
"dd57843d543ae2d83ddd36545e9abc10267f5d66","0","0","0"
"f8e709887e85ecf1b9c58084131751f0792d55f2","0","0","0"
"41e445fe71487d5e79e062802f93a6217e654df8","0","0","0"
"c27109efb3531d5534d4b414e121d67737398445","0","0","0"
"700122c429c5d399f676b6ffdc3414ba694ea2e1","0","0","0"
"bc5e0126aa75042c93070d5df4a677503b42c663","0","0","0"
"2d8527ca10567c4fadb928c0108dadcdcfb0bfbf","0","0","0"
"0effaef073f8b779aceabe6e8059ceb91495ec27","0","0","0"
"dfcfbae1979f4874073d2e3db3486d7051d0fe3b","0","0","0"
"81fad3903d5fb8baf3d7708fd632592e8c09eed7","0","0","0"
"cdc1ccb967389336e0b2a46e99638bb904ecbb6b","0","0","0"
"75eec243d718571519944e619f802b0b0639f7e0","0","0","0"
"eb69696bb468b98c8999042ce8ccc29cb0a0f159","0","1","7"
"f4e560670244e5280320536d909eb1a3c48e6466","0","1","1"
"79abc5978c063a5c1108d139b245d0acb01fe2ad","0","0","0"
"0a3ab2729211138e0d586ed0a9b88f4361b3e96a","1","1","1"
"51f4174a5c7e6b2ac5d0b96080ca0e76aefffd70","0","0","0"
"1cf43cf63f45dc51183253c198642e4a1ba107eb","0","0","0"
"93cc2df27f4a865fe9a9e143e7d0b5e780a93f92","0","1","1"
"a14a7c98b4cd3539e7659b77011d99bf3c8e9f1e","0","0","0"
"ef813258c6cffbc20b11dc17c420f7e4f34af721","0","0","0"
"2079b0ccb73a20db1a0034ce26cff39f313d40d3","0","1","1"
"937cf863c8fd5ccada577be6475362e71c8e3907","0","0","0"
"48578f0ec513a96af12a003619cf956469c3a107","0","1","2"
"1a9bfa2405ae01b0216621cec992f5fab03748ed","0","0","0"
"e68965b6019f68a6f0d2ed6d85cf1d2f5a9811a2","0","0","0"
"b5fd8e33c54d034fc0cc7bf889d5670c92485b37","1","1","1"
"c78f824f140ce92a2fba502adbc9917c67ae9b1e","0","1","1"
"1187aa5bb0d8efe35e9731caa89c3ad8d6c02c54","0","1","1"
"152204ad00e26da5fbef09399101120fd2233443","0","1","1"
"959931efc36fefe0cbe77b589213f06a94c4a615","1","1","2"
"a51a420f829002d3a0e8561aa1bf1486f3449906","0","0","0"
"897264ee952db0624e65bb844344eb033ad410c3","0","1","1"
"1258651a7c54299e662e2d1100900d50942b80ca","1","1","3"
"1ff38d3c4a9a6a24727af2278693ec63d358be5e","0","1","5"
"9a04e4b62b10c26d0bed876535559cf6c0079d20","0","0","0"
"b8805d4a85530f841ccc059ecfd7db3914e4a2d2","0","0","0"
